냉동,냉동 농산물,식물성,"잠두(씨앗,냉동)",A0300700000000023600
냉동,냉동 농산물,식물성,"리마콩(씨앗,냉동)",A0300900000000023600
냉동,냉동 농산물,식물성,"그린콩(씨앗,냉동)",A0301100000000023600
냉동,냉동 농산물,식물성,"작두콩(씨앗,냉동)",A0301300000000023600
냉동,냉동 농산물,식물성,"제비콩(씨앗,냉동)",A0301500000000023600
냉동,냉동 농산물,식물성,"타마린드(열매,냉동)",A03ZZZ00000000024700
냉동,냉동 농산물,식물성,"밤(열매,냉동)",A0400100100000024700
냉동,냉동 농산물,식물성,"호두(견과,냉동)",A0400100200000020400
냉동,냉동 농산물,식물성,"은행(견과,냉동)",A0400100300000020400
냉동,냉동 농산물,식물성,"잣(씨앗,냉동)",A0400100400000023600
냉동,냉동 농산물,식물성,"땅콩(견과,냉동)",A0400100500000020400
냉동,냉동 농산물,식물성,"도토리(열매,냉동)",A0400101200000024700
냉동,냉동 농산물,식물성,"개다래나무/목천료(열매,냉동)",A0400101300000024700
냉동,냉동 농산물,식물성,"마름(열매,냉동)",A04001ZZY00000024700
냉동,냉동 농산물,식물성,"올리브(열매,냉동)",A0400200600000024700
냉동,냉동 농산물,식물성,"커피원두(씨앗,냉동)",A0400300100000023600
냉동,냉동 농산물,식물성,"헛개나무(열매,냉동)",A04003ZZY00000024700
냉동,냉동 농산물,식물성,"사과(열매,냉동)",A0500100100000024700
냉동,냉동 농산물,식물성,"배(열매,냉동)",A0500100200000024700
냉동,냉동 농산물,식물성,"감(열매,냉동)",A0500100400000024700
냉동,냉동 농산물,식물성,"석류(열매,냉동)",A0500100500000024700
냉동,냉동 농산물,식물성,"감귤(껍질,냉동)",A0500200100000020600
냉동,냉동 농산물,식물성,"감귤(열매,냉동)",A0500200100000024700
냉동,냉동 농산물,식물성,"깔라몬딘 오렌지(열매,냉동)",A0500200100001024700
냉동,냉동 농산물,식물성,"오렌지(껍질,냉동)",A0500200200000020600
냉동,냉동 농산물,식물성,"오렌지(열매,냉동)",A0500200200000024700
냉동,냉동 농산물,식물성,"자몽(열매,냉동)",A0500200300000024700
냉동,냉동 농산물,식물성,"레몬(열매,냉동)",A0500200400000024700
냉동,냉동 농산물,식물성,"유자(열매,냉동)",A0500200500000024700
냉동,냉동 농산물,식물성,"라임(열매,냉동)",A0500200600000024700
냉동,냉동 농산물,식물성,"금귤(열매,냉동)",A0500200700000024700
냉동,냉동 농산물,식물성,"포멜로(열매,냉동)",A0500201100000024700
냉동,냉동 농산물,식물성,"칼라만시(열매,냉동)",A05002ZZZ00000024700
냉동,냉동 농산물,식물성,"복숭아(열매,냉동)",A0500300100000024700
냉동,냉동 농산물,식물성,"대추(열매,냉동)",A0500300200000024700
냉동,냉동 농산물,식물성,"살구(열매,냉동)",A0500300300000024700
냉동,냉동 농산물,식물성,"자두(열매,냉동)",A0500300400000024700
냉동,냉동 농산물,식물성,"매실(열매,냉동)",A0500300500000024700
냉동,냉동 농산물,식물성,"체리(열매,냉동)",A0500300600000024700
냉동,냉동 농산물,식물성,"오미자(열매,냉동)",A0500300900000024700
냉동,냉동 농산물,식물성,"갈매보리수나무(열매,냉동)",A05003ZZY00000024700
냉동,냉동 농산물,식물성,"보리수나무(열매,냉동)",A05003ZZZ00000024700
냉동,냉동 농산물,식물성,"포도(열매,냉동)",A0500400100000024700
냉동,냉동 농산물,식물성,"딸기(씨앗,냉동)",A0500400300000023600
냉동,냉동 농산물,식물성,"딸기(열매,냉동)",A0500400300000024700
냉동,냉동 농산물,식물성,"무화과(열매,냉동)",A0500400400000024700
냉동,냉동 농산물,식물성,"오디/상심자(열매,냉동)",A0500400500000024700
냉동,냉동 농산물,식물성,"블루베리(열매,냉동)",A0500400800000024700
