importer,total_count,product_category_summary_sorted,product_category_actual_sorted
(주)금양인터내셔날,2517,"과실주,위스키","과실주,위스키"
하이트진로(주),2056,"과실주,맥주,위스키","과실주,맥주,위스키"
매크로통상(주),2035,"과자,소스,잼 ,초콜릿 ,빵류,당류가공품,소금 ,올리브유,견과 ,과채가공품,치즈 ,토마토캐첩/ 마요네즈,기타 수산물가공품","과자,소스,잼,초콜릿가공품,빵류,밀크초콜릿,초콜릿,기타잼,당류가공품,올리브유,건면,땅콩 또는 견과류가공품,과.채가공품,기타소금,가공소금,화이트초콜릿,곡류가공품,숙면,가공치즈,마요네즈,기타 수산물가공품,준초콜릿"
현대코퍼레이션홀딩스(주) 경기지사,2035,"닭고기 ,소고기 ,돼지고기 ","닭고기(냉동,다리,닭고기정육/지육),소고기(냉동,정육(뼈없는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,꼬리,소부산물),소고기(냉동,머리,소부산물),소고기(냉동,위,소부산물),소고기(냉동,장,소부산물),소고기(냉동,건,소부산물),돼지고기(기타,돼지고기부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,심장,소부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,기타,소부산물),돼지고기(냉동,위,돼지고기부산물),소고기(냉동,발,소부산물),돼지고기(냉동,횡격막,돼지고기부산물),소고기(냉동,생식기,소부산물),소고기(냉동,식도,소부산물)"
나라셀라 주식회사,2029,과실주,과실주
우진미트유한회사,1959,"소고기 ,돼지고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,건,소부산물),소고기(냉동,횡격막,소부산물),돼지고기(기타,돼지고기부산물),돼지고기(냉동,발,돼지고기부산물),소고기(냉동,위,소부산물),소고기(냉동,머리,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,꼬리,소부산물),소고기(냉동,생식기,소부산물),소고기(냉동,장,소부산물),염소고기(냉동,정육(뼈있는 것),염소육 및 부산물),돼지고기(냉동,장,돼지고기부산물),소고기(냉동,심장,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,허파,소부산물)"
(주)사세 부산지점,1945,닭고기 ,"닭고기(냉동,다리,닭고기정육/지육),닭고기(냉동,날개,닭고기정육/지육),닭고기(냉동,기타,닭고기부산물),닭고기(냉동,근위,닭고기부산물),닭고기(냉동,가슴,닭고기정육/지육),닭고기(냉동,발,닭고기부산물)"
롯데칠성음료(주),1803,"과실주,과채가공품,위스키,분유 ,밀/ 메밀, 호밀,보리 ","과실주,과.채가공품,위스키,혼합분유,밀(씨앗),보리(씨앗)"
(주)신세계푸드,1767,"소고기 ,돼지고기 ,잼 ,바나나 ,과채가공품,과자,버터 ,빵류,초콜릿 ,치즈 ,견과 ,원두 ,올리브유,과.채주스,포도 ,기타 수산물가공품,당류가공품","소고기(냉동,정육(뼈없는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),잼,바나나(열매,신선),소고기(냉동,횡격막,소부산물),소고기(냉동,정육(뼈있는것),소고기정육/지육),과.채가공품,과자,가공버터,빵류,소고기(냉동,건,소부산물),돼지고기(냉동,발,돼지고기부산물),초콜릿가공품,돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),소고기(냉동,머리,소부산물),자연치즈,호두(견과,건조),커피원두(씨앗,건조),가공치즈,소고기(냉동,기타,소부산물),올리브유,돼지고기(냉동,머리,돼지고기부산물),돼지고기(기타,돼지고기부산물),소고기(냉동,꼬리,소부산물),땅콩 또는 견과류가공품,과.채주스,포도(열매,신선),기타 수산물가공품,당류가공품,밀크초콜릿,돼지고기(냉동,지방,돼지고기부산물),소고기(냉동,위,소부산물)"
(주)베이크플러스,1692,"초콜릿 ,과채가공품,치즈 ,잼 ,빵류,식물성크림/ 유크림 ,버터 ,당류가공품,견과 ,밀가루 ,과자,기타 수산물가공품","초콜릿,과.채가공품,빵류,잼,자연치즈,가공유크림,당류가공품,버터,준초콜릿,화이트초콜릿,땅콩 또는 견과류가공품,밀크초콜릿,치즈,초콜릿가공품,과자,영양강화 밀가루,기타잼,가공치즈,밀가루,기타 수산물가공품,코코아버터,가공버터"
주식회사 캐틀팜,1689,"소고기 ,돼지고기 ,닭고기 ","소고기(냉동,정육(뼈없는것),소고기정육/지육),소고기(냉동,정육(뼈있는것),소고기정육/지육),돼지고기(냉동,정육(뼈없는것),돼지고기정육/지육),소고기(냉동,건,소부산물),소고기(냉동,횡격막,소부산물),소고기(냉동,머리,소부산물),소고기(냉동,기타,소부산물),소고기(냉동,위,소부산물),소고기(냉장,횡격막,소부산물),소고기(냉장,정육(뼈없는것),소고기정육/지육),소고기(냉동,꼬리,소부산물),돼지고기(냉동,정육(뼈있는것),돼지고기정육/지육),돼지고기(냉동,머리,돼지고기부산물),소고기(냉동,장,소부산물),닭고기(냉동,다리,닭고기정육/지육),돼지고기(냉동,발,돼지고기부산물),돼지고기(기타,돼지고기부산물),돼지고기(냉동,장,돼지고기부산물),소고기(냉장,정육(뼈있는것),소고기정육/지육)"
