가공식품,비네센코리아 주식회사,생 오뱅 프리미어 크뤼 레 루즈 고르쥬,SAINT AUBIN 1ER CRU CUVEE LES ROUGES GORGES,과실주,HENRI PRUDHON ET FILS,2023-08-31,-,프랑스,프랑스
가공식품,이멕스무역(주),해피무 초콜릿맛 비스킷,HAPPY MOO CHOCOLATE BISCUITS,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-11-17,말레이시아,말레이시아
가공식품,원앤원,믹스 핫 칠리 비스킷 스틱,MIX HOT CHILLI BISCUIT STICKS,과자,"VARIETY FOODS INTERNATIONAL CO.,LTD",2023-08-31,2023-08-10 ~ 2025-02-09,태국,태국
가공식품,(주)댓와인,"도멘 삐에르 지라르댕, 뿔리니 몽라쉐 프리미에 크뤼 레 폴라티에","DOMAINE PIERRE GIRARDIN, PULIGNY MONTRACHET PREMIERE CRU LES FOLATIERES",과실주,PIERRE VINCENT GIRARDIN,2023-08-31,2022-11-11 ~ ,프랑스,프랑스
가공식품,원앤원,믹스 스파이시 코리안 치킨 비스킷 스틱,MIX SPICY KOREAN CHICKEN BISCUIT STICKS,과자,"VARIETY FOODS INTERNATIONAL CO.,LTD",2023-08-31,2023-08-10 ~ 2025-02-09,태국,태국
가공식품,이멕스무역(주),뉴트리 5 시리얼 크리스프 초콜릿맛,NUTRI 5 CEREAL CRISP CHOCOLATE,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-08-18,말레이시아,말레이시아
가공식품,실반씨더블유씨코리아 유한회사,샤또 라 가펠리에르 (14%) (2016),CHATEAU LA GAFFELIERE,과실주,CHATEAU LA GAFFELIERE,2023-08-31,-,프랑스,프랑스
가공식품,엠에이치샴페인즈앤드와인즈코리아(주),"클라우디 베이 샤도네이 / 1099794, L23065B005",CLOUDY BAY CHARDONNAY,과실주,CLOUDY BAY VINEYARDS LTD,2023-08-31,-,뉴질랜드,싱가포르
가공식품,(주)댓와인,"도멘 삐에르 지라르댕, 뫼르소 레 슈발리에","PIERRE GIRARDIN, MEURSAULT LES CHEVALIERES",과실주,PIERRE VINCENT GIRARDIN,2023-08-31,2021-03-27 ~ ,프랑스,프랑스
가공식품,신동와인(주),샤또 딸보,CHATEAU TALBOT,과실주,CHATEAU TALBOT,2023-08-31,-,프랑스,프랑스
가공식품,(주)크리스탈와인컬렉션,에곤 뮬러 샤르초프베르거 슈페트레제,EGON MULLER SCHARZHOFBERGER SPATLESE,과실주,EGON MULLER,2023-08-31,2022-03-10 ~ ,독일,프랑스
가공식품,엠에이치샴페인즈앤드와인즈코리아(주),"아르망드 브리냑 블랑드 블랑 / 1098525, L016Z23",ARMAND DE BRIGNAC BLANC DE BLANCS,과실주,CATTIER,2023-08-31,-,프랑스,프랑스
가공식품,이멕스무역(주),포테이토 크리스프 사워크림향 (75 g),POTATO CRISP SOUR CREAM FLAVOUR,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-08-17,말레이시아,말레이시아
가공식품,이멕스무역(주),포테이토 크리스프 스위트콘향,POTATO CRISP SWEET CORN FLAVOUR,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-08-18,말레이시아,말레이시아
가공식품,이멕스무역(주),스위트 포테이토 크리스프,SWEET POTATO CRISP,과자,WIN WIN FOOD INDUSTRIES SDN BHD,2023-08-31, ~ 2024-08-18,말레이시아,말레이시아
