importer,total_count,product_category_summary_sorted,product_category_actual_sorted
시그니쳐로스터스,3,원두 ,"커피원두(씨앗,건조)"
블루커피,3,원두 ,"커피원두(씨앗,건조)"
(주)아로마빌커피,3,원두 ,"커피원두(씨앗,건조)"
(유)씨엔씨커피,3,원두 ,"커피원두(씨앗,건조)"
칼라스로스터스(Kalas Roasters),3,원두 ,"커피원두(씨앗,건조)"
온투커피,3,원두 ,"커피원두(씨앗,건조)"
주식회사오렌지프로젝트그룹,3,원두 ,"커피원두(씨앗,건조)"
롯데웰푸드(주)포승공장,3,원두 ,"커피원두(씨앗,건조)"
아이덴티티커피랩,3,원두 ,"커피원두(씨앗,건조)"
주식회사 제이엔제이 통상,3,원두 ,"커피원두(씨앗,건조)"
렛세콰이어,3,원두 ,"커피원두(씨앗,건조)"
(주)훔볼트,3,원두 ,"커피원두(씨앗,건조)"
히트커피,3,원두 ,"커피원두(씨앗,건조)"
주식회사 알비에이치상사,3,원두 ,"커피원두(씨앗,건조)"
(주)학산 테라로사 커피,3,원두 ,"커피원두(씨앗,건조)"
주식회사 언노운로스터스,3,원두 ,"커피원두(씨앗,건조)"
안데스커피(주),3,원두 ,"커피원두(씨앗,건조)"
(주)비앤지평화상사,3,"원두 ,식품용 폴리에틸렌 제품 ,식품용 폴리프로필렌 제품 ","폴리에틸렌,커피원두(씨앗,건조)"
비제이빈(BJ Bean),3,원두 ,"커피원두(씨앗,건조)"
(주)조단코퍼레이션,3,위스키,위스키
주식회사 소담,3,위스키,위스키
아워박스 주식회사 신사업1본부,3,위스키,위스키
(주)더쎄를라잇브루잉 (남양주지점),3,위스키,위스키
이천무역,3,위스키,위스키
주식회사 맥스어스인터내셔널,3,위스키,위스키
노르딕하우스,3,잼 ,기타잼
제이더블유 파마켐,3,정제/가공을거쳐야하는식품원료,"정제,가공을거쳐야하는식품원료"
광진테크(주),3,정제/가공을거쳐야하는식품원료,"정제,가공을거쳐야하는식품원료"
그랜드라인,3,초콜릿 ,초콜릿가공품
주식회사 태그라이너,3,"초콜릿 ,식품용 폴리프로필렌 제품 ","초콜릿가공품,폴리프로필렌"
(주)라벨리,3,초콜릿 ,밀크초콜릿
엠케이푸드,3,"초콜릿 ,식품용 폴리에틸렌 제품 ","초콜릿가공품,아크릴로니트릴-부타디엔-스티렌 공중합체"
주식회사비케이아이엔티,3,초콜릿 ,초콜릿가공품
엘앤브이컴퍼니,3,치즈 ,가공치즈
(주)샤니,3,치즈 ,자연치즈
(주)블리스푸드컴퍼니,3,치즈 ,"치즈,자연치즈"
(주)비알인터내셔널 코리아,3,치즈 ,가공치즈
주식회사 씨에스앰,3,치즈 ,자연치즈
주식회사 렐라코리아,3,치즈 ,자연치즈
알프레스코,3,토마토캐첩/ 마요네즈,마요네즈
(주)올랩,3,건강기능식품용 올리고당 ,프락토올리고당
엔와이케이 주식회사,3,"건강기능식품용 추출물 ,건강기능식품용 유지 ",복합기능성제품
행림상사,3,건강기능식품용 유지 ,감마리놀렌산 함유 유지
헬스푸드테크,3,건강기능식품용 유지 ,EPA 및 DHA 함유 유지
구딩,3,건강기능식품용 유지 ,EPA 및 DHA 함유 유지
주식회사 코럴클럽퍼시픽,3,"건강기능식품용 유지 ,복합영양소제품,영양소/기능성복합제품","EPA 및 DHA 함유 유지,복합영양소제품"
애릭스코리아 주식회사,3,"복합영양소제품,건강기능식품용 유지 ","복합영양소제품,EPA 및 DHA 함유 유지"
한국무역,3,건강기능식품용 유지 ,감마리놀렌산 함유 유지
나라피아(NARAPIA),3,건강기능식품용 유지 ,EPA 및 DHA 함유 유지
주식회사 코벨트,3,"건강기능식품용 유지 ,건강기능식품용 추출물 ,영양소/기능성복합제품","영양소,기능성복합제품"
농업회사법인(주)참들식품,3,"건강기능식품용 유지 ,건강기능식품용 추출물 ,영양소/기능성복합제품","영양소,기능성복합제품,프로폴리스추출물"
(주)에이필드,3,"건강기능식품용 유지 ,복합영양소제품","복합기능성제품,복합영양소제품"
삼신무역상사,3,"건강기능식품용 유지 ,복합영양소제품,영양소/기능성복합제품","영양소,기능성복합제품,복합영양소제품"
(주)미건헬시스,3,"건강기능식품용 유지 ,엠에스엠,영양소/기능성복합제품","영양소,기능성복합제품,복합기능성제품"
대용신화,3,건강기능식품용 추출물 ,프로폴리스추출물
주식회사 씨에이치피코리아,3,건강기능식품용 추출물 ,가르시니아캄보지아 추출물
올그린라이프,3,"건강기능식품용 추출물 ,복합영양소제품,영양소/기능성복합제품","영양소,기능성복합제품,복합영양소제품"
헬스하우스,3,건강기능식품용 추출물 ,"프로폴리스추출물,가르시니아캄보지아 추출물"
뉴트라폴리스 주식회사,3,건강기능식품용 추출물 ,프로폴리스추출물
일양약품(주),3,건강기능식품용 추출물 ,쏘팔메토 열매 추출물
한국벡스팜제약(주),3,"건강기능식품용 추출물 ,영양소/기능성복합제품","영양소,기능성복합제품,프로폴리스추출물"
주식회사 골드문코리아,3,건강기능식품용 추출물 ,프로폴리스추출물
(주)쏘밍,3,건강기능식품용 추출물 ,프로폴리스추출물
주식회사 비엔지,3,건강기능식품용 추출물 ,석류추출물(제2015-28호)
주식회사 노바웰스,3,건강기능식품용 추출물 ,레몬버베나추출물 등 복합물(제2022-13호)
태성코스메틱,3,복합영양소제품,복합영양소제품
에이아이월드 (AI WORLD),3,복합영양소제품,복합영양소제품
류&마케팅컴퍼니,3,복합영양소제품,복합영양소제품
주식회사 투버스,3,복합영양소제품,복합영양소제품
주식회사 창세,3,복합영양소제품,복합영양소제품
인카브인터내셔날(INCAV),3,"복합영양소제품,영양소/기능성복합제품","복합영양소제품,영양소,기능성복합제품"
네오아미카,3,복합영양소제품,복합영양소제품
파미스코리아 주식회사,3,복합영양소제품,복합영양소제품
에이투인터내셔널,3,엠에스엠,"엠에스엠(MSM, Methyl sulfonylmethane, 디메틸설폰)"
(주)서윤패밀리,3,영양소/기능성복합제품,"영양소,기능성복합제품"
농업회사법인진산명가주식회사,3,냉동 농산물 ,"밤(열매,냉동)"
청과무역,3,냉동 농산물 ,"바라밀(열매,냉동),두리안(열매,냉동)"
햇살트레이딩,3,냉동 농산물 ,"두리안(열매,냉동)"
(주)해우산업,3,냉동 농산물 ,"포도(열매,냉동)"
주식회사 대운국제무역,3,냉동 농산물 ,"마늘(뿌리,냉동)"
농업회사법인주식회사만만,3,냉동 농산물 ,"마늘(뿌리,냉동)"
"주식회사 일류인터내셔널 (IL RYU international, Inc.)",3,냉동 농산물 ,"마늘(뿌리,냉동)"
청청농산,3,냉동 농산물 ,"고추(열매,냉동)"
SG GLOBAL 에스지글로벌,3,냉동 농산물 ,"고추(열매,냉동)"
한국송이무역,3,냉동 농산물 ,"능이버섯(자실체,냉동),송이버섯(자실체,냉동)"
대우농산,3,냉동 농산물 ,"고추(열매,냉동)"
농업회사법인 유한회사 태사모팜,3,냉동 농산물 ,"고추(열매,냉동)"
캄클라무역,3,냉동 농산물 ,"고추(열매,냉동)"
주식회사 진혜무역,3,냉동 농산물 ,"고추(열매,냉동)"
전주농산,3,냉동 농산물 ,"고추(열매,냉동)"
주식회사 다나산업,3,냉동 농산물 ,"고추(열매,냉동)"
Lorca International,3,냉동 농산물 ,"송로버섯(자실체,냉동)"
장원푸드,3,냉동 농산물 ,"고추(열매,냉동)"
주식회사 우성엠피,3,냉동 농산물 ,"고추(열매,냉동)"
혁신유통,3,냉동 농산물 ,"고추(열매,냉동)"
에스지허브(SG허브),3,냉동 농산물 ,"능이버섯(자실체,냉동),송이버섯(자실체,냉동)"
건원무역 주식회사,3,냉동 농산물 ,"고추(열매,냉동)"
농업회사법인소르젠골드주식회사,3,냉동 농산물 ,"고추(열매,냉동)"
농업회사법인주식회사지산농산,3,냉동 농산물 ,"고추(열매,냉동)"
송이백화점,3,냉동 농산물 ,"송이버섯(자실체,냉동),능이버섯(자실체,냉동)"
농업회사법인(주)새벽애,3,냉동 농산물 ,"고추(열매,냉동)"
한림통상,3,냉동 농산물 ,"능이버섯(자실체,냉동),송이버섯(자실체,냉동)"
주식회사 연승,3,냉동 농산물 ,"능이버섯(자실체,냉동)"
주식회사 두성농업,3,냉동 농산물 ,"고추(열매,냉동)"
팔도유통,3,냉동 농산물 ,"능이버섯(자실체,냉동)"
(주)수일통상,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 폴리프로필렌 제품 ",폴리에틸렌
주식회사씽크데코,3,식품용 금속제품 ,금속제
예원당,3,"식품용 금속제품 ,식품용 도자기제품 ",금속제
주식회사 보보스더쿡스,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
"주식회사주은 (JOOEUN Co., Ltd.)",3,식품용 금속제품 ,금속제
(주)왐코리아,3,식품용 금속제품 ,금속제
(주)타노인터내셔날,3,식품용 금속제품 ,금속제
대성R&C,3,식품용 금속제품 ,아크릴로니트릴-부타디엔-스티렌 공중합체
(주)리우패밀리,3,식품용 금속제품 ,폴리아미드
헤링본리얼티 주식회사,3,식품용 금속제품 ,금속제
베러바이즈,3,식품용 금속제품 ,금속제
주식회사 동선,3,식품용 금속제품 ,금속제
(주)홍산경금속,3,식품용 금속제품 ,금속제
태림스텐(주),3,식품용 금속제품 ,금속제
(주) 더프리미엄아이스월드,3,식품용 금속제품 ,폴리카보네이트
에프투씨인터내셔널(주),3,식품용 금속제품 ,폴리스티렌
(주)에바다,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,금속제"
JSK GLOBAL,3,"식품용 도자기제품 ,식품용 금속제품 ","도자기제,금속제"
리피트 주식회사,3,식품용 금속제품 ,금속제
주식회사 비에이치아쎄르,3,식품용 금속제품 ,고무제
(주)붐코리아,3,식품용 금속제품 ,금속제
스밀스(SMILLS),3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,금속제"
정원인터내셔날,3,식품용 금속제품 ,금속제
티씨티,3,식품용 금속제품 ,금속제
주식회사 하이홈코리아,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
자유로,3,식품용 금속제품 ,금속제
주식회사 에이치엔하나,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,금속제"
세기코퍼레이션,3,식품용 금속제품 ,금속제
메나르 MENARE,3,식품용 금속제품 ,금속제
티프(tifff),3,식품용 금속제품 ,폴리카보네이트
탱이하우스,3,식품용 금속제품 ,금속제
에이에프씨 코리아(AFC 코리아),3,식품용 금속제품 ,금속제
(주) 제이오통상,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,도자기제"
힘쎈테크툴,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 불소수지 제품 ",아크릴로니트릴-부타디엔-스티렌 공중합체
리버오브스프링,3,식품용 금속제품 ,금속제
에이치컨지스 주식회사,3,식품용 금속제품 ,금속제
트라이포드인터내셔널,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ","금속제,폴리에틸렌테레프탈레이트"
커피 디자인랩,3,식품용 금속제품 ,금속제
(The) 필통,3,식품용 금속제품 ,금속제
(주)문화개발,3,"식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
(주)한국화필무렵,3,식품용 금속제품 ,고무제
주식회사 에브리솔루션,3,"식품용 폴리프로필렌 제품 ,식품용 금속제품 ","폴리프로필렌,금속제"
릴라이어블 트레이딩 서비스,3,"식품용 도자기제품 ,식품용 금속제품 ","폴리아미드,도자기제,나무제"
(주)하늘넷,3,"식품용 도자기제품 ,식품용 금속제품 ","도자기제,금속제"
덕원코리아,3,식품용 금속제품 ,금속제
철순이네소품집,3,"식품용 도자기제품 ,식품용 금속제품 ","도자기제,금속제"
데코리타,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","금속제,폴리프로필렌"
컬럼비아스포츠웨어코리아 유한회사,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,폴리시클로헥산-1,4-디메틸렌테레프탈레이트"
코어레포츠(주),3,식품용 금속제품 ,금속제
타임몰,3,식품용 금속제품 ,금속제
제이디에이,3,식품용 금속제품 ,금속제
송원에스엘,3,식품용 금속제품 ,금속제
서연유통,3,식품용 금속제품 ,금속제
와이로비니(WHYR company),3,식품용 금속제품 ,금속제
(주)뉴썬인더스트리,3,식품용 금속제품 ,금속제
(주)데어스이천,3,식품용 금속제품 ,"금속제,고무제"
엔씨글로벌,3,식품용 금속제품 ,"폴리스티렌,금속제"
플커컴퍼니,3,"식품용 금속제품 ,식품용 도자기제품 ","고무제,폴리시클로헥산-1,4-디메틸렌테레프탈레이트"
블루앤비 ,3,식품용 금속제품 ,금속제
제주굿즈,3,"식품용 금속제품 ,식품용 도자기제품 ","고무제,도자기제"
이든테크주식회사,3,식품용 금속제품 ,금속제
(주)에버랩,3,식품용 금속제품 ,금속제
주식회사 피스프로그,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,아크릴로니트릴-스티렌 공중합체"
오륜솝,3,식품용 금속제품 ,금속제
위더스컴퍼니,3,식품용 금속제품 ,금속제
주식회사 리뉴메디,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 폴리프로필렌 제품 ",폴리에틸렌
티엔트레이드 (TN Trade),3,식품용 금속제품 ,금속제
셰프 브루노,3,식품용 금속제품 ,금속제
와이에이치인터내셔널,3,식품용 금속제품 ,금속제
오마이디어,3,식품용 금속제품 ,"고무제,금속제"
고려산업,3,식품용 금속제품 ,금속제
실버브릿지,3,"식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
스투키프로젝트,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","금속제,폴리프로필렌"
포휴먼,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 폴리프로필렌 제품 ",폴리에틸렌
트리드,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ,식품용 폴리프로필렌 제품 ",폴리에틸렌
pncpartner,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
(주)원앤드원,3,식품용 금속제품 ,금속제
제이비컴퍼니,3,"식품용 폴리프로필렌 제품 ,식품용 금속제품 ","아크릴로니트릴-부타디엔-스티렌 공중합체,폴리프로필렌"
(주)리쉬티코리아,3,식품용 금속제품 ,금속제
승원,3,식품용 금속제품 ,금속제
(주)천우글로벌,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","금속제,폴리프로필렌"
(주)쥴리어스컴퍼니,3,"식품용 폴리프로필렌 제품 ,식품용 금속제품 ","폴리프로필렌,금속제"
나도나도 주식회사,3,식품용 금속제품 ,"폴리아세탈,고무제"
엠씨피코퍼레이션(MCPCorp),3,"식품용 금속제품 ,식품용 불소수지 제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
태화인터내셔널,3,식품용 금속제품 ,금속제
지엠산업,3,식품용 금속제품 ,금속제
미래통상,3,"식품용 금속제품 ,식품용 폴리프로필렌 제품 ","폴리프로필렌,금속제"
더웨스트,3,식품용 금속제품 ,금속제
주식회사 에스티트레이딩,3,식품용 금속제품 ,금속제
한국에지테크,3,식품용 금속제품 ,금속제
주식회사 조그만,3,식품용 금속제품 ,금속제
메사네트웍스,3,식품용 금속제품 ,금속제
주식회사 디쉬뱅크,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ","금속제,폴리에틸렌테레프탈레이트"
(주)엠에스코,3,"식품용 금속제품 ,식품용 도자기제품 ,식품용 폴리프로필렌 제품 ",폴리프로필렌
두나미스인터내셔날,3,"식품용 금속제품 ,식품용 폴리에틸렌 제품 ","폴리에틸렌테레프탈레이트,금속제"
